Wall time,Step,Value
1725862140.6518486,0,236.5728759765625
1725862159.9350007,1,224.9433135986328
1725862178.58241,2,211.65530395507812
1725862197.5546072,3,204.75584411621094
1725862216.455475,4,199.92861938476562
1725862235.0029705,5,197.3820343017578
1725862254.5229886,6,196.01470947265625
1725862273.5437593,7,184.7213897705078
1725862292.5821435,8,186.71234130859375
1725862311.4279437,9,182.8020477294922
1725862330.6181364,10,183.65725708007812
1725862350.5866315,11,185.82789611816406
1725862369.6157572,12,182.1015167236328
1725862388.924118,13,184.177734375
1725862407.629138,14,181.62887573242188
1725862427.0532346,15,180.32327270507812
1725862446.3792875,16,181.2563018798828
1725862466.076612,17,180.12274169921875
1725862485.149089,18,178.4434051513672
1725862503.9831977,19,177.7535858154297
1725862522.8696148,20,178.1976776123047
1725862541.9672883,21,177.80328369140625
1725862561.4435894,22,178.2483367919922
1725862580.3834815,23,176.92721557617188
1725862599.1704967,24,176.43882751464844
1725862617.351707,25,176.2821044921875
1725862635.604412,26,175.83953857421875
1725862653.6331418,27,175.85211181640625
1725862671.200417,28,175.83676147460938
1725862688.8398604,29,175.6350555419922
1725862706.5411901,30,175.5590362548828
1725862724.6587868,31,175.47772216796875
1725862742.3545835,32,175.35411071777344
1725862760.3072293,33,175.1466064453125
1725862778.4409995,34,175.04397583007812
1725862796.706438,35,174.9302978515625
1725862814.9343889,36,174.78988647460938
1725862833.9046397,37,174.687744140625
1725862853.0939164,38,174.62452697753906
1725862871.8782206,39,174.53858947753906
1725862891.2610111,40,174.49746704101562
1725862910.6777015,41,174.4375
1725862929.6679242,42,174.39244079589844
1725862948.577844,43,174.36268615722656
1725862967.6512825,44,174.31930541992188
1725862986.1012435,45,174.2984619140625
1725863005.0097451,46,174.26210021972656
1725863024.647662,47,174.23402404785156
1725863044.4260726,48,174.20849609375
1725863064.1065817,49,174.18186950683594
