Wall time,Step,Value
1725847417.6047928,0,235.9290008544922
1725847437.1109505,1,222.00942993164062
1725847455.949417,2,202.42652893066406
1725847476.8878675,3,193.43408203125
1725847499.6567383,4,191.85736083984375
1725847522.458383,5,188.89332580566406
1725847545.249972,6,183.3450164794922
1725847567.7440386,7,183.73382568359375
1725847590.705648,8,181.8018035888672
1725847613.7548654,9,180.3019561767578
1725847636.167969,10,179.36038208007812
1725847659.1147113,11,175.94857788085938
1725847681.2171862,12,175.7210693359375
1725847704.4269102,13,179.36233520507812
1725847728.6839042,14,178.21585083007812
1725847751.7302194,15,176.89768981933594
1725847773.9483838,16,175.7333526611328
1725847796.5579925,17,177.07400512695312
1725847819.5513093,18,175.44119262695312
1725847843.6026256,19,174.28262329101562
1725847866.8682961,20,174.70831298828125
1725847889.8502538,21,175.61181640625
1725847915.344358,22,174.49029541015625
1725847944.1644464,23,174.13720703125
1725847967.2321496,24,174.00247192382812
1725847990.4288647,25,173.86370849609375
1725848012.7932014,26,173.65476989746094
1725848035.2319186,27,173.06103515625
1725848057.3797412,28,172.8231964111328
1725848080.6098824,29,172.4134979248047
1725848102.6982887,30,172.30413818359375
1725848124.3243794,31,172.1391143798828
1725848146.1187735,32,172.10467529296875
1725848168.4020803,33,172.0423126220703
1725848189.858862,34,171.96536254882812
1725848211.8397982,35,171.92738342285156
1725848235.5774095,36,171.85421752929688
1725848259.2360525,37,171.70066833496094
1725848282.1977637,38,171.61929321289062
1725848306.3916526,39,171.59030151367188
1725848329.7978094,40,171.5396728515625
1725848352.8945236,41,171.50694274902344
1725848375.4558074,42,171.45469665527344
1725848398.834624,43,171.42091369628906
1725848421.3484666,44,171.3898162841797
1725848444.56702,45,171.35366821289062
1725848468.7136781,46,171.3158416748047
1725848492.0552151,47,171.29246520996094
1725848513.2110195,48,171.27479553222656
1725848533.8963318,49,171.25338745117188
