Wall time,Step,Value
1725846545.6443589,0,236.7209014892578
1725846559.1247451,1,227.14385986328125
1725846573.0146112,2,207.77621459960938
1725846586.8883865,3,205.69723510742188
1725846600.7498024,4,192.2319793701172
1725846614.2473345,5,183.79150390625
1725846627.720942,6,188.91152954101562
1725846641.399773,7,186.1756134033203
1725846656.6497805,8,181.51271057128906
1725846671.473817,9,185.52076721191406
1725846686.3176622,10,183.60203552246094
1725846701.2432728,11,185.6315460205078
1725846715.6229095,12,178.98020935058594
1725846731.322149,13,178.25938415527344
1725846748.25816,14,178.5426025390625
1725846762.7974007,15,178.56692504882812
1725846777.9503922,16,178.27215576171875
1725846792.0967712,17,177.3699188232422
1725846805.9799845,18,177.43348693847656
1725846821.090383,19,176.1646270751953
1725846835.1966946,20,175.89456176757812
1725846849.755782,21,175.5470428466797
1725846863.9836318,22,174.65272521972656
1725846877.812504,23,174.37442016601562
1725846892.0982969,24,174.9736785888672
1725846906.2798228,25,174.56515502929688
1725846920.743098,26,174.34165954589844
1725846935.2101636,27,173.8287811279297
1725846949.6568663,28,173.26278686523438
1725846964.4623833,29,173.171875
1725846978.9134655,30,173.01658630371094
1725846993.2856438,31,172.8933563232422
1725847007.4409406,32,172.801025390625
1725847021.5527859,33,172.70460510253906
1725847035.612499,34,172.65122985839844
1725847050.3148122,35,172.59744262695312
1725847064.9818966,36,172.44406127929688
1725847079.2123594,37,172.36224365234375
1725847094.3496385,38,172.30416870117188
1725847108.7515333,39,172.21142578125
1725847123.1476364,40,172.169677734375
1725847137.4384227,41,172.1347198486328
1725847152.2629006,42,172.10597229003906
1725847167.173506,43,172.0643768310547
1725847181.8907323,44,172.03614807128906
1725847196.3170006,45,172.00262451171875
1725847210.7669709,46,171.97547912597656
1725847225.8078098,47,171.94436645507812
1725847242.4186919,48,171.91793823242188
1725847257.4156458,49,171.89942932128906
