Wall time,Step,Value
1725862140.63669,0,0.03152267262339592
1725862159.9193265,1,0.19601945579051971
1725862178.565873,2,0.5333862900733948
1725862197.540097,3,0.5024144649505615
1725862216.4404585,4,0.5076872110366821
1725862234.984812,5,0.5516178607940674
1725862254.5054603,6,0.6061798334121704
1725862273.5212243,7,0.6131488084793091
1725862292.5601158,8,0.7696221470832825
1725862311.4088752,9,0.7575514912605286
1725862330.6011136,10,0.8348771929740906
1725862350.568607,11,0.8707875609397888
1725862369.6012366,12,0.7793218493461609
1725862388.9090984,13,0.8383580446243286
1725862407.6115985,14,0.7645098567008972
1725862427.0387218,15,0.7615175247192383
1725862446.3607411,16,0.7937553524971008
1725862466.0605872,17,0.7404800653457642
1725862485.130362,18,0.7303176522254944
1725862503.9661813,19,0.7367180585861206
1725862522.853883,20,0.7572631239891052
1725862541.9526434,21,0.7336315512657166
1725862561.4280732,22,0.7552081346511841
1725862580.3598254,23,0.7013680934906006
1725862599.150966,24,0.7203772068023682
1725862617.3345659,25,0.7330659031867981
1725862635.5892932,26,0.7193031311035156
1725862653.6186192,27,0.7414198517799377
1725862671.1854005,28,0.7402132749557495
1725862688.8237162,29,0.7263149619102478
1725862706.526175,30,0.7347891926765442
1725862724.6432688,31,0.7333307266235352
1725862742.3385375,32,0.7288748025894165
1725862760.2917235,33,0.7191932201385498
1725862778.426175,34,0.7280676960945129
1725862796.6909263,35,0.7262903451919556
1725862814.912014,36,0.7208037376403809
1725862833.889622,37,0.7243837714195251
1725862853.076878,38,0.7288421988487244
1725862871.8627112,39,0.7251113057136536
1725862891.246495,40,0.7309374809265137
1725862910.6599073,41,0.726721465587616
1725862929.651809,42,0.7290409803390503
1725862948.5593193,43,0.7306193709373474
1725862967.6362529,44,0.7273123860359192
1725862986.081839,45,0.7324779629707336
1725863004.9888575,46,0.7272926568984985
1725863024.6296499,47,0.7279267311096191
1725863044.410941,48,0.7281882166862488
1725863064.089966,49,0.7269067168235779
