Wall time,Step,Value
1725847417.5832543,0,0.052963558584451675
1725847437.0933785,1,0.3018021285533905
1725847455.9343998,2,0.8078894019126892
1725847476.8683002,3,0.9150809645652771
1725847499.629837,4,1.0041459798812866
1725847522.439859,5,1.0493896007537842
1725847545.231615,6,1.0943578481674194
1725847567.7246163,7,1.2563318014144897
1725847590.6866012,8,1.2464772462844849
1725847613.7338264,9,1.2532774209976196
1725847636.147262,10,1.2490816116333008
1725847659.096974,11,1.196212887763977
1725847681.1986368,12,1.269298791885376
1725847704.409393,13,1.417893648147583
1725847728.6624174,14,1.2453949451446533
1725847751.7120137,15,1.2416532039642334
1725847773.9292493,16,1.2425415515899658
1725847796.5409226,17,1.3452191352844238
1725847819.5295773,18,1.2265655994415283
1725847843.5808542,19,1.2349051237106323
1725847866.846719,20,1.3165578842163086
1725847889.8336976,21,1.3524432182312012
1725847915.3120987,22,1.2333321571350098
1725847944.147433,23,1.2803523540496826
1725847967.210922,24,1.2898677587509155
1725847990.4075813,25,1.291971206665039
1725848012.7749128,26,1.2855383157730103
1725848035.214621,27,1.2488689422607422
1725848057.3621464,28,1.2824995517730713
1725848080.5937197,29,1.2618240118026733
1725848102.6816854,30,1.2971068620681763
1725848124.3070009,31,1.288250207901001
1725848146.1021335,32,1.3036478757858276
1725848168.3800943,33,1.3022959232330322
1725848189.841454,34,1.301873803138733
1725848211.8217194,35,1.307897925376892
1725848235.5598876,36,1.2995738983154297
1725848259.2197065,37,1.2751123905181885
1725848282.1811619,38,1.2926726341247559
1725848306.3724685,39,1.3094593286514282
1725848329.7765565,40,1.2993659973144531
1725848352.876007,41,1.3060424327850342
1725848375.4355607,42,1.2974272966384888
1725848398.8169792,43,1.3010128736495972
1725848421.322149,44,1.3028486967086792
1725848444.5454946,45,1.300144076347351
1725848468.6900644,46,1.296261191368103
1725848492.0329773,47,1.3030940294265747
1725848513.1944914,48,1.3037976026535034
1725848533.880237,49,1.3035109043121338
