Wall time,Step,Value
1721834941.1540105,0,2.7868058681488037
1721834943.459044,1,2.4856064319610596
1721834945.760845,2,1.7968038320541382
1721834948.0641706,3,1.0389739274978638
1721834950.366207,4,0.758166491985321
1721834952.6579247,5,0.6991754770278931
1721834954.9289331,6,0.6727723479270935
1721834957.2013056,7,0.658324658870697
1721834959.4744656,8,0.6497212052345276
1721834961.7579875,9,0.6367764472961426
1721834964.0678504,10,0.6332756876945496
1721834966.365193,11,0.623202383518219
1721834968.6563458,12,0.6162380576133728
1721834970.9319673,13,0.6139761805534363
1721834973.2255347,14,0.602035403251648
1721834975.5171452,15,0.5989970564842224
1721834977.796299,16,0.5918647050857544
1721834980.076026,17,0.586385190486908
1721834982.3863933,18,0.5817751288414001
1721834984.7525392,19,0.5798354744911194
1721834987.0539677,20,0.5787333250045776
1721834989.328907,21,0.5712445378303528
1721834991.5958025,22,0.5670333504676819
1721834993.8690886,23,0.5648050308227539
1721834996.1620216,24,0.5624197721481323
1721834998.4490502,25,0.5599125027656555
1721835000.725152,26,0.561153769493103
1721835003.0071843,27,0.5583587884902954
1721835005.3824947,28,0.5549978613853455
1721835007.6849964,29,0.5512444376945496
1721835009.9750614,30,0.5530077815055847
1721835012.2995536,31,0.5523543357849121
1721835014.6756132,32,0.548500120639801
1721835017.0422857,33,0.5476685762405396
1721835019.3631508,34,0.5487199425697327
1721835021.7062263,35,0.5478690266609192
1721835024.0703335,36,0.5441271066665649
1721835026.3789864,37,0.5429102778434753
1721835028.6938498,38,0.5474041104316711
1721835030.9979787,39,0.5414268374443054
1721835033.265612,40,0.5425832867622375
1721835035.583721,41,0.5426887273788452
1721835037.930401,42,0.5441400408744812
1721835040.2504475,43,0.5483640432357788
1721835042.5921156,44,0.5411095023155212
1721835044.9469602,45,0.5399979948997498
1721835047.2561235,46,0.5421544909477234
1721835049.5558712,47,0.5415393710136414
1721835051.8102295,48,0.5394783616065979
1721835054.073376,49,0.5396670699119568
